(0,2)
(10,1)
(20,2)
(30,2)
(40,3)
(50,4)
(60,4)
(70,4)
(80,5)
(90,5)
(100,6)
(110,6)
(120,7)
(130,7)
(140,21)
(150,9)
(160,9)
(170,9)
(180,10)
(190,10)
(200,11)
(210,11)
(220,21)
(230,12)
(240,12)
(250,13)
(260,23)
(270,15)
(280,16)
(290,16)
(300,16)
(310,17)
(320,18)
(330,18)
(340,19)
(350,20)
(360,20)
(370,20)
(380,21)
(390,21)
(400,22)
(410,23)
(420,23)
(430,23)
(440,24)
(450,24)
(460,25)
(470,26)
(480,26)
(490,27)
(500,42)
(510,26)
(520,27)
(530,27)
(540,27)
(550,28)
(560,28)
(570,29)
(580,30)
(590,30)
(600,31)
(610,31)
(620,32)
(630,32)
(640,33)
(650,34)
(660,34)
(670,35)
(680,35)
(690,36)
(700,36)
(710,36)
(720,37)
(730,37)
(740,37)
(750,38)
(760,39)
(770,40)
(780,40)
(790,41)
(800,41)
(810,41)
(820,42)
(830,42)
(840,42)
(850,44)
(860,44)
(870,45)
(880,45)
(890,46)
(900,46)
(910,46)
(920,48)
(930,48)
(940,49)
(950,50)
(960,49)
(970,49)
(980,50)
(990,50)
